"pdb","vvolume","variable","value"
"1AGY_A","vvolumeO","rsa",0.774899756657677
"1AGY_A","vvolumeO","seqent",0.411019044196288
"1AGY_A","vvolumeSC","ddgent",0.764739490627815
"1AGY_A","vvolumeSC","hbe",0.450349199511751
"1AGY_A","vvolumeSC","hpshh",0.323539578375705
"1AGY_A","vvolumeSC","r4s_JC",0.691337328850398
"1AGY_A","vvolumeSC","rsa",0.923461924479116
"1AGY_A","vvolumeSC","seqent",0.526296623591718
"1AH7_A","vvolumeAA","ddgent",0.770644395303103
"1AH7_A","vvolumeAA","hbe",0.416443491281925
"1AH7_A","vvolumeAA","hpshh",0.362783630659019
"1AH7_A","vvolumeAA","r4s_JC",0.647311076448478
"1AH7_A","vvolumeAA","rsa",0.922457373847629
"1AH7_A","vvolumeAA","seqent",0.444797138122155
"1AH7_A","vvolumeC","ddgent",0.665564930265648
"1AH7_A","vvolumeC","hbe",0.487008777359689
"1AH7_A","vvolumeC","hpshh",0.318038743107527
"1AH7_A","vvolumeC","r4s_JC",0.615061540919101
"1AH7_A","vvolumeC","rsa",0.820595463761913
"1AH7_A","vvolumeC","seqent",0.431384621033934
"1AH7_A","vvolumeCA","ddgent",0.748465511754482
"1AH7_A","vvolumeCA","hbe",0.437600231959106
"1AH7_A","vvolumeCA","hpshh",0.338729393756384
"1AH7_A","vvolumeCA","r4s_JC",0.655339321575
"1AH7_A","vvolumeCA","rsa",0.853016529113897
"1AH7_A","vvolumeCA","seqent",0.468581113335323
"1AH7_A","vvolumeCB","ddgent",0.765534602485537
"1AH7_A","vvolumeCB","hbe",0.408958352503046
"1AH7_A","vvolumeCB","hpshh",0.370771048538379
"1AH7_A","vvolumeCB","r4s_JC",0.642610083393247
"1AH7_A","vvolumeCB","rsa",0.88419754953414
"1AH7_A","vvolumeCB","seqent",0.44724432451061
"1AH7_A","vvolumeN","ddgent",0.643804519008723
"1AH7_A","vvolumeN","hbe",0.452587651056052
"1AH7_A","vvolumeN","hpshh",0.315476024477132
"1AH7_A","vvolumeN","r4s_JC",0.608077654109386
"1AH7_A","vvolumeN","rsa",0.759580654272864
"1AH7_A","vvolumeN","seqent",0.437234442740962
"1AH7_A","vvolumeO","ddgent",0.617377538780406
"1AH7_A","vvolumeO","hbe",0.463022358970969
"1AH7_A","vvolumeO","hpshh",0.269591092787014
